,16-00348_B3_103,16-00462_B3_103,16-00322_B3_103,16-00318_B3_103,16-00298_B3_103,16-00301_B3_103,16-00310_B3_103,16-00299_B3_103,16-00288_B3_103,16-00287_B3_103,16-00285_B3_103,16-00284_B3_103,16-00279_B3_103,16-00265_B3_103,16-00261_B3_103,16-00252_B3_103,16-00253_B3_103,16-00254_B3_103,16-00244_B3_103,16-00241_B3_103,16-00239_B3_103,16-00237_B3_103,16-00240_B3_103,16-00235_B3_103,16-00229_B3_103,16-00219_B3_103,16-00198_B3_103,16-00211_B3_103,16-00215_B3_103,16-00197_B3_103,16-00154_B3_103,16-00151_B3_103,16-00221_B3_103,16-00126_B3_103,15-01053_B3_103,15-00956_B3_103,14-00083_B3_103,14-00054_B3_103,14-00053_B3_103,14-00025_B3_103,24-01058_B3_103,24-00933_B3_103,24-00917_B3_103,24-00867_B3_103,24-00854_B3_103,24-00407_B3_103,24-00369_B3_103,24-00233_B3_103,23-00802_B3_103,23-00577_B3_103,23-00571_B3_103,23-00569_B3_103,23-00550_B3_103,23-00551_B3_103,23-00549_B3_103,23-00548_B3_103,23-00475_B3_103,23-00474_B3_103,22-00085_B3_103,22-00081_B3_103,22-00052_B3_103,21-00374_B3_103,21-00372_B3_103,21-00373_B3_103,23-00291_B3_103,22-00073_B3_103,24-00795_B3_103,23-00184_B3_103,18-00040_B3_103,11-00756_B3_103,11-00742_B3_103,11-00718_B3_103
23-00548_B3_103,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.006578947368421018,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
23-00475_B3_103,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.006578947368421018,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
23-00474_B3_103,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.006578947368421018,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
22-00085_B3_103,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.006578947368421018,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
22-00081_B3_103,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.006578947368421018,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
22-00052_B3_103,0.006578947368421018,0.006578947368421018,0.006578947368421018,0.006578947368421018,0.006578947368421018,0.006578947368421018,0.006578947368421018,0.006578947368421018,0.006578947368421018,0.006578947368421018,0.006578947368421018,0.006578947368421018,0.006578947368421018,0.006578947368421018,0.006578947368421018,0.006578947368421018,0.006578947368421018,0.006578947368421018,0.006578947368421018,0.006578947368421018,0.006578947368421018,0.006578947368421018,0.006578947368421018,0.006578947368421018,0.006578947368421018,0.006578947368421018,0.006578947368421018,0.006578947368421018,0.006578947368421018,0.006578947368421018,0.006578947368421018,0.006578947368421018,0.019736842105263164,0.006578947368421018,0.006578947368421018,0.006578947368421018,0.006578947368421018,0.006578947368421018,0.006578947368421018,0.006578947368421018,0.013157894736842146,0.013157894736842146,0.013157894736842146,0.013157894736842146,0.013157894736842146,0.013157894736842146,0.013157894736842146,0.013157894736842146,0.013157894736842146,0.013157894736842146,0.013157894736842146,0.013157894736842146,0.013157894736842146,0.013157894736842146,0.013157894736842146,0.013157894736842146,0.013157894736842146,0.013157894736842146,0.013157894736842146,0.013157894736842146,0.0,,,,,,,,,,,
21-00374_B3_103,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.021929824561403466,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.002192982456140302,0.0,,,,,,,,,,
21-00372_B3_103,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.021929824561403466,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.002192982456140302,0.0,0.0,,,,,,,,,
21-00373_B3_103,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.021929824561403466,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.002192982456140302,0.0,0.0,0.0,,,,,,,,
23-00291_B3_103,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.00877192982456143,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.015350877192982448,0.01754385964912286,0.01754385964912286,0.01754385964912286,0.0,,,,,,,
22-00073_B3_103,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.00877192982456143,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.015350877192982448,0.01754385964912286,0.01754385964912286,0.01754385964912286,0.004385964912280715,0.0,,,,,,
24-00795_B3_103,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.00877192982456143,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.015350877192982448,0.01754385964912286,0.01754385964912286,0.01754385964912286,0.004385964912280715,0.004385964912280715,0.0,,,,,
23-00184_B3_103,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.006578947368421018,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.021929824561403466,0.02412280701754388,0.02412280701754388,0.02412280701754388,0.010964912280701733,0.010964912280701733,0.010964912280701733,0.0,,,,
18-00040_B3_103,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.015350877192982448,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.01754385964912286,0.01754385964912286,0.01754385964912286,0.01754385964912286,0.01754385964912286,0.01754385964912286,0.01754385964912286,0.01754385964912286,0.01754385964912286,0.01754385964912286,0.01754385964912286,0.01754385964912286,0.01754385964912286,0.01754385964912286,0.01754385964912286,0.01754385964912286,0.01754385964912286,0.01754385964912286,0.01754385964912286,0.01754385964912286,0.004385964912280715,0.006578947368421018,0.006578947368421018,0.006578947368421018,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.01754385964912286,0.0,,,
11-00756_B3_103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013157894736842146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.006578947368421018,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.019736842105263164,0.002192982456140302,0.0,,
11-00742_B3_103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013157894736842146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.006578947368421018,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.019736842105263164,0.002192982456140302,0.0,0.0,
11-00718_B3_103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013157894736842146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.006578947368421018,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.019736842105263164,0.002192982456140302,0.0,0.0,0.0
